No,Country or Area,ISO-alpha3 Code,M49 Code,Continent,Region 1,Region 2
1,Afghanistan,AFG,4,Asia,Southern Asia,
2,Albania,ALB,8,Europe,Southern Europe,
3,Algeria,DZA,12,Africa,Northern Africa,
4,Andorra,AND,20,Europe,Southern Europe,
5,Angola,AGO,24,Africa,Middle Africa,Sub-Saharan Africa
6,Antarctica,ATA,10,Antarctica,Antarctica,
7,Argentina,ARG,32,South America,South America,Latin America and the Caribbean
8,Armenia,ARM,51,Asia,Western Asia,
9,Australia,AUS,36,Oceania,Australia and New Zealand,
10,Austria,AUT,40,Europe,Western Europe,
11,Azerbaijan,AZE,31,Asia,Western Asia,
12,Bahamas,BHS,44,North America,Caribbean,Latin America and the Caribbean
13,Bahrain,BHR,48,Asia,Western Asia,
14,Bangladesh,BGD,50,Asia,Southern Asia,
15,Belarus,BLR,112,Europe,Eastern Europe,
16,Belgium,BEL,56,Europe,Western Europe,
17,Belize,BLZ,84,North America,Central America,Latin America and the Caribbean
18,Benin,BEN,204,Africa,Western Africa,Sub-Saharan Africa
19,Bhutan,BTN,64,Asia,Southern Asia,
20,Bolivia,BOL,68,South America,South America,Latin America and the Caribbean
21,Bosnia and Herzegovina,BIH,70,Europe,Southern Europe,
22,Botswana,BWA,72,Africa,Southern Africa,Sub-Saharan Africa
23,Brazil,BRA,76,South America,South America,Latin America and the Caribbean
24,Brunei,BRN,96,Asia,South-eastern Asia,
25,Bulgaria,BGR,100,Europe,Eastern Europe,
26,Burkina Faso,BFA,854,Africa,Western Africa,Sub-Saharan Africa
27,Burundi,BDI,108,Africa,Eastern Africa,Sub-Saharan Africa
28,Cabo Verde,CPV,132,Africa,Western Africa,Sub-Saharan Africa
29,Cambodia,KHM,116,Asia,South-eastern Asia,
30,Cameroon,CMR,120,Africa,Middle Africa,Sub-Saharan Africa
31,Canada,CAN,124,North America,Northern America,
32,Central African Republic,CAF,140,Africa,Middle Africa,Sub-Saharan Africa
33,Chad,TCD,148,Africa,Middle Africa,Sub-Saharan Africa
34,Chile,CHL,152,South America,South America,Latin America and the Caribbean
35,China,CHN,156,Asia,Eastern Asia,
36,Colombia,COL,170,South America,South America,Latin America and the Caribbean
37,Comoros,COM,174,Africa,Eastern Africa,Sub-Saharan Africa
38,Congo,COG,178,Africa,Middle Africa,Sub-Saharan Africa
39,Costa Rica,CRI,188,North America,Central America,Latin America and the Caribbean
